road_id,hour,day_of_week,weather,is_holiday,road_capacity,road_length_km,historical_flow,avg_speed_kmh
1-3,18,Thursday,clear,0,3000.0,8.5,100,50.68
1-3,0,Wednesday,cloudy,0,3000.0,8.5,100,52.24
1-3,12,Saturday,cloudy,0,3000.0,8.5,100,53.34
1-3,11,Thursday,clear,1,3000.0,8.5,100,56.38
1-3,0,Monday,rain,1,3000.0,8.5,124.97,49.54
1-3,15,Friday,clear,0,3000.0,8.5,100,51.03
1-3,0,Sunday,rain,0,3000.0,8.5,100,50.64
1-3,19,Friday,rain,1,3000.0,8.5,100,42.11
1-3,10,Monday,rain,0,3000.0,8.5,100,41.09
1-3,1,Friday,rain,0,3000.0,8.5,118.86,49.45
1-3,0,Tuesday,rain,0,3000.0,8.5,100,47.93
1-3,6,Sunday,rain,0,3000.0,8.5,100,49.88
1-3,15,Tuesday,cloudy,1,3000.0,8.5,100,47.4
1-3,19,Monday,cloudy,0,3000.0,8.5,100,49.78
1-3,4,Thursday,cloudy,0,3000.0,8.5,100,52.38
1-3,9,Sunday,clear,0,3000.0,8.5,148.85,50.76
1-3,15,Monday,rain,0,3000.0,8.5,100,42.13
1-3,9,Saturday,fog,0,3000.0,8.5,100,47.14
1-3,20,Tuesday,cloudy,0,3000.0,8.5,149.02,51.84
1-3,1,Monday,cloudy,0,3000.0,8.5,100,54.96
1-3,3,Thursday,cloudy,0,3000.0,8.5,100,52.54
1-3,19,Monday,rain,0,3000.0,8.5,100,42.95
1-3,22,Wednesday,fog,0,3000.0,8.5,121.58,51.02
1-3,3,Friday,clear,0,3000.0,8.5,100,54.06
1-3,22,Sunday,cloudy,0,3000.0,8.5,100,52.35
1-3,19,Tuesday,cloudy,0,3000.0,8.5,100,49.56
1-3,9,Tuesday,cloudy,0,3000.0,8.5,100,45.4
1-3,9,Sunday,fog,1,3000.0,8.5,100,47.13
1-3,5,Tuesday,cloudy,0,3000.0,8.5,100,55.75
1-3,14,Thursday,clear,0,3000.0,8.5,100,57.16
1-3,2,Thursday,cloudy,0,3000.0,8.5,100,51.06
1-3,8,Thursday,fog,1,3000.0,8.5,100,45.5
1-3,8,Monday,fog,0,3000.0,8.5,100,46.86
1-3,9,Friday,fog,0,3000.0,8.5,100,44.15
1-3,6,Saturday,clear,1,3000.0,8.5,100,53.34
1-3,5,Friday,rain,0,3000.0,8.5,100,45.69
1-3,22,Wednesday,rain,1,3000.0,8.5,100,48.67
1-3,7,Monday,rain,0,3000.0,8.5,107.34,41.3
1-3,4,Sunday,rain,0,3000.0,8.5,100,46.21
1-3,17,Wednesday,cloudy,0,3000.0,8.5,100,50.22
1-3,0,Friday,cloudy,1,3000.0,8.5,100,56.05
1-3,0,Wednesday,clear,0,3000.0,8.5,100,54.67
1-3,4,Tuesday,fog,1,3000.0,8.5,100,50.01
1-3,1,Monday,fog,0,3000.0,8.5,100,50.9
1-3,9,Wednesday,cloudy,0,3000.0,8.5,100,45.55
1-3,3,Sunday,cloudy,0,3000.0,8.5,100,55.15
1-3,19,Wednesday,rain,0,3000.0,8.5,100,45.06
1-3,3,Tuesday,clear,0,3000.0,8.5,100,52.37
1-3,11,Thursday,rain,0,3000.0,8.5,100,48.54
1-3,16,Monday,clear,0,3000.0,8.5,100,47.53
1-3,2,Saturday,cloudy,1,3000.0,8.5,116.0,53.67
1-3,20,Monday,rain,0,3000.0,8.5,118.28,45.49
1-3,8,Saturday,cloudy,0,3000.0,8.5,100,47.06
1-3,16,Friday,rain,0,3000.0,8.5,100,43.53
1-3,10,Friday,fog,1,3000.0,8.5,100,43.89
1-3,18,Monday,cloudy,0,3000.0,8.5,100,49.99
1-3,22,Thursday,rain,0,3000.0,8.5,100,45.82
1-3,21,Saturday,cloudy,0,3000.0,8.5,100,51.23
1-3,5,Sunday,rain,0,3000.0,8.5,100,49.97
1-3,9,Sunday,cloudy,0,3000.0,8.5,100,49.06
1-3,20,Friday,rain,0,3000.0,8.5,100,48.57
1-3,17,Friday,cloudy,0,3000.0,8.5,100,50.8
1-3,11,Thursday,cloudy,0,3000.0,8.5,100,53.41
1-3,2,Thursday,rain,1,3000.0,8.5,100,46.94
1-3,1,Tuesday,cloudy,0,3000.0,8.5,100,56.0
1-3,0,Sunday,cloudy,0,3000.0,8.5,100,52.28
1-3,22,Tuesday,clear,0,3000.0,8.5,100,51.53
1-3,20,Wednesday,cloudy,1,3000.0,8.5,100,50.75
1-3,3,Tuesday,cloudy,0,3000.0,8.5,135.09,50.8
1-3,9,Tuesday,rain,0,3000.0,8.5,100,39.19
